term_key,campaign_name,ad_group_name,impressions_ads_detail,clicks_ads_detail,cost_ads_detail,conversions_ads_detail,search_budget_lost_impression_share_detail,ctr_ads_detail,avg_cpc_ads_detail,cpa_ads_detail,detail_recommendation
skincare como fazer,WG_Shopping | Portfólio Geral | nbd,todos,11,0,0.0,0.0,0.0019842830030239,0.0,,,monitorar
skincare completo,WG_Search | Soluções | nbd,search | produtos de skincare,1,0,0.0,0.0,0.0793697977877321,0.0,,,monitorar
skincare completo,WG_Shopping | Best Sellers | nbd,shopping | best sellers,67,1,0.79,0.0,0.1216678938796651,0.014925373134328358,0.79,,monitorar
skincare completo,WG_Shopping | Portfólio Geral | nbd,todos,44,0,0.0,0.0,0.0019842830030239,0.0,,,monitorar
skincare coreana,WG_Search | Soluções | nbd,search | skin care coreano,712,29,31.525255,0.0,0.0793697977877321,0.04073033707865169,1.0870777586206897,,monitorar_com_risco_neste_grupo
skincare coreana,WG_Shopping | Best Sellers | nbd,shopping | best sellers,5147,95,53.34,0.0,0.1216678938796651,0.018457353798329124,0.5614736842105263,,revisar_ou_reduzir_neste_grupo
skincare coreana,WG_Shopping | Portfólio Geral | nbd,todos,3077,22,15.15,0.0,0.0019842830030239,0.007149821254468639,0.6886363636363636,,revisar_intencao_neste_grupo
skincare coreana acne,WG_Search | Soluções | nbd,search | skin care coreano,4,1,1.07,0.0,0.0793697977877321,0.25,1.07,,monitorar
skincare coreana acne,WG_Shopping | Best Sellers | nbd,shopping | best sellers,15,1,0.47,0.0,0.1216678938796651,0.06666666666666667,0.47,,monitorar
skincare coreana acne,WG_Shopping | Portfólio Geral | nbd,todos,4,0,0.0,0.0,0.0019842830030239,0.0,,,monitorar
skincare coreana onde comprar,WG_Shopping | Best Sellers | nbd,shopping | best sellers,13,1,1.43,0.0,0.1216678938796651,0.07692307692307693,1.43,,monitorar
skincare coreana onde comprar,WG_Shopping | Portfólio Geral | nbd,todos,3,0,0.0,0.0,0.0019842830030239,0.0,,,monitorar
skincare coreana para acne,WG_Search | Soluções | nbd,search | skin care coreano,2,1,0.49,0.0,0.0793697977877321,0.5,0.49,,monitorar
skincare coreana para acne,WG_Shopping | Best Sellers | nbd,shopping | best sellers,5,1,0.28,0.0,0.1216678938796651,0.2,0.28,,monitorar
skincare coreana para pele madura,WG_Shopping | Best Sellers | nbd,shopping | best sellers,1,1,0.94,0.0,0.1216678938796651,1.0,0.94,,monitorar
skincare coreana para pele madura,WG_Shopping | Portfólio Geral | nbd,todos,1,0,0.0,0.0,0.0019842830030239,0.0,,,monitorar
skincare coreana pele madura,WG_Search | Soluções | nbd,search | produtos coreanos para pele,1,0,0.0,0.0,0.0793697977877321,0.0,,,monitorar
skincare coreana pele madura,WG_Search | Soluções | nbd,search | skin care coreano,4,2,4.12,0.0,0.0793697977877321,0.5,2.06,,monitorar
skincare coreana pele madura,WG_Shopping | Best Sellers | nbd,shopping | best sellers,17,0,0.0,0.0,0.1216678938796651,0.0,,,monitorar
skincare coreana pele madura,WG_Shopping | Portfólio Geral | nbd,todos,19,0,0.0,0.0,0.0019842830030239,0.0,,,monitorar
skincare coreana pele oleosa,WG_Search | Soluções | nbd,search | produtos coreanos para pele,3,1,0.88,0.0,0.0793697977877321,0.3333333333333333,0.88,,monitorar
skincare coreana pele oleosa,WG_Search | Soluções | nbd,search | skin care coreano,10,0,0.0,0.0,0.0793697977877321,0.0,,,monitorar
skincare coreana pele oleosa,WG_Shopping | Best Sellers | nbd,shopping | best sellers,27,0,0.0,0.0,0.1216678938796651,0.0,,,monitorar
skincare coreana pele oleosa,WG_Shopping | Portfólio Geral | nbd,todos,25,0,0.0,0.0,0.0019842830030239,0.0,,,monitorar
skincare coreana produtos,WG_Search | Soluções | nbd,search | produtos coreanos para pele,2,1,0.745147,0.0,0.0793697977877321,0.5,0.745147,,monitorar
skincare coreana produtos,WG_Search | Soluções | nbd,search | skin care coreano,12,1,0.722365,0.0,0.0793697977877321,0.08333333333333333,0.722365,,monitorar
skincare coreana produtos,WG_Shopping | Best Sellers | nbd,shopping | best sellers,226,5,3.04,0.0,0.1216678938796651,0.022123893805309734,0.608,,monitorar
skincare coreana produtos,WG_Shopping | Portfólio Geral | nbd,todos,158,2,0.64,0.0,0.0019842830030239,0.012658227848101266,0.32,,monitorar
skincare coreano,WG_Search | Soluções | nbd,search | skin care coreano,297,21,30.448705,0.0,0.0793697977877321,0.0707070707070707,1.4499383333333333,,monitorar_com_risco_neste_grupo
skincare coreano,WG_Shopping | Best Sellers | nbd,shopping | best sellers,3064,46,30.7,0.0,0.1216678938796651,0.015013054830287207,0.6673913043478261,,monitorar_com_risco_neste_grupo
skincare coreano,WG_Shopping | Portfólio Geral | nbd,todos,1517,12,14.89,0.0,0.0019842830030239,0.007910349373764008,1.2408333333333335,,monitorar
skincare coreano kit,WG_Search | Soluções | nbd,search | kit de skincare,2,0,0.0,0.0,0.0793697977877321,0.0,,,monitorar
skincare coreano kit,WG_Shopping | Best Sellers | nbd,shopping | best sellers,12,2,1.44,0.0,0.1216678938796651,0.16666666666666666,0.72,,monitorar
skincare coreano kit,WG_Shopping | Portfólio Geral | nbd,todos,16,0,0.0,0.0,0.0019842830030239,0.0,,,monitorar
skincare coreano medicube,WG_Shopping | Best Sellers | nbd,shopping | best sellers,32,1,0.59,0.0,0.1216678938796651,0.03125,0.59,,monitorar
skincare coreano medicube,WG_Shopping | Portfólio Geral | nbd,todos,3,0,0.0,0.0,0.0019842830030239,0.0,,,monitorar
skincare coreano na liberdade,WG_Shopping | Best Sellers | nbd,shopping | best sellers,1,0,0.0,0.0,0.1216678938796651,0.0,,,monitorar
skincare coreano para adolescentes,WG_Search | Soluções | nbd,search | produtos de skincare,3,0,0.0,0.0,0.0793697977877321,0.0,,,monitorar
skincare coreano para adolescentes,WG_Shopping | Best Sellers | nbd,shopping | best sellers,14,1,1.17,0.0,0.1216678938796651,0.07142857142857142,1.17,,monitorar
skincare coreano para adolescentes,WG_Shopping | Portfólio Geral | nbd,todos,18,0,0.0,0.0,0.0019842830030239,0.0,,,monitorar
skincare coreano pele madura,WG_Search | Soluções | nbd,search | produtos coreanos para pele,1,0,0.0,0.0,0.0793697977877321,0.0,,,monitorar
skincare coreano pele madura,WG_Search | Soluções | nbd,search | produtos de skincare,4,0,0.0,0.0,0.0793697977877321,0.0,,,monitorar
skincare coreano pele madura,WG_Search | Soluções | nbd,search | skin care coreano,1,0,0.0,0.0,0.0793697977877321,0.0,,,monitorar
skincare coreano pele madura,WG_Shopping | Best Sellers | nbd,shopping | best sellers,71,2,0.9,0.0,0.1216678938796651,0.028169014084507043,0.45,,monitorar
skincare coreano pele madura,WG_Shopping | Portfólio Geral | nbd,todos,71,1,0.68,0.0,0.0019842830030239,0.014084507042253521,0.68,,monitorar
skincare coreano pele oleosa,WG_Search | Soluções | nbd,search | produtos de skincare,6,0,0.0,0.0,0.0793697977877321,0.0,,,monitorar
skincare coreano pele oleosa,WG_Search | Soluções | nbd,search | skin care coreano,5,0,0.0,0.0,0.0793697977877321,0.0,,,monitorar
skincare coreano pele oleosa,WG_Shopping | Best Sellers | nbd,shopping | best sellers,28,0,0.0,0.0,0.1216678938796651,0.0,,,monitorar
skincare coreano pele oleosa,WG_Shopping | Portfólio Geral | nbd,todos,13,1,0.67,0.0,0.0019842830030239,0.07692307692307693,0.67,,monitorar
skincare coreano produtos,WG_Search | Soluções | nbd,search | produtos coreanos para pele,1,0,0.0,0.0,0.0793697977877321,0.0,,,monitorar
skincare coreano produtos,WG_Search | Soluções | nbd,search | produtos de skincare,6,1,0.95,0.0,0.0793697977877321,0.16666666666666666,0.95,,monitorar
skincare coreano produtos,WG_Search | Soluções | nbd,search | skin care coreano,6,0,0.0,0.0,0.0793697977877321,0.0,,,monitorar
skincare coreano produtos,WG_Shopping | Best Sellers | nbd,shopping | best sellers,261,5,3.56,0.0,0.1216678938796651,0.019157088122605363,0.712,,monitorar
skincare coreano produtos,WG_Shopping | Portfólio Geral | nbd,todos,146,0,0.0,0.0,0.0019842830030239,0.0,,,monitorar
skincare coreano shopee,WG_Shopping | Best Sellers | nbd,shopping | best sellers,12,1,1.01,0.0,0.1216678938796651,0.08333333333333333,1.01,,monitorar
skincare coreano shopee,WG_Shopping | Portfólio Geral | nbd,todos,3,0,0.0,0.0,0.0019842830030239,0.0,,,monitorar
skincare coreanos,WG_Search | Soluções | nbd,search | produtos coreanos para pele,2,0,0.0,0.0,0.0793697977877321,0.0,,,monitorar
skincare coreanos,WG_Search | Soluções | nbd,search | produtos de skincare,1,0,0.0,0.0,0.0793697977877321,0.0,,,monitorar
skincare coreanos,WG_Search | Soluções | nbd,search | skin care coreano,2,0,0.0,0.0,0.0793697977877321,0.0,,,monitorar
skincare coreanos,WG_Shopping | Best Sellers | nbd,shopping | best sellers,34,2,2.03,0.0,0.1216678938796651,0.058823529411764705,1.015,,monitorar
skincare coreanos,WG_Shopping | Portfólio Geral | nbd,todos,13,0,0.0,0.0,0.0019842830030239,0.0,,,monitorar
skincare creamy,WG_Search | Soluções | nbd,search | produtos de skincare,1,0,0.0,0.0,0.0793697977877321,0.0,,,monitorar
skincare creamy,WG_Shopping | Best Sellers | nbd,shopping | best sellers,159,1,0.83,0.0,0.1216678938796651,0.006289308176100629,0.83,,monitorar
skincare creamy,WG_Shopping | Portfólio Geral | nbd,todos,34,0,0.0,0.0,0.0019842830030239,0.0,,,monitorar
skincare creme,WG_Search | Soluções | nbd,search | produtos de skincare,1,0,0.0,0.0,0.0793697977877321,0.0,,,monitorar
skincare creme,WG_Shopping | Best Sellers | nbd,shopping | best sellers,17,0,0.0,0.0,0.1216678938796651,0.0,,,monitorar
